identifier,title,action,name,date,matter_id
O2023-0002691,Handicapped Parking Permit No. 132217,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-07-19,2D21EDFE-5E1F-EE11-8F6C-001DD809BD75
O2023-0002691,Handicapped Parking Permit No. 132217,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,2D21EDFE-5E1F-EE11-8F6C-001DD809BD75
O2023-0002691,Handicapped Parking Permit No. 132217,Referred,Committee on Pedestrian and Traffic Safety,2023-07-19,2D21EDFE-5E1F-EE11-8F6C-001DD809BD75
O2023-0002692,Handicapped Parking Permit No. 131118,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,169F1707-601F-EE11-8F6C-001DD809BD75
O2023-0002708,Handicapped Parking Permit No. 130878,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,4EBFD270-0820-EE11-8F6C-001DD809B9F5
O2023-0002716,Handicapped Parking Permit No. 12996,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,4C1A463D-1720-EE11-8F6C-001DD809B9F5
O2023-0002736,Handicapped Parking Permit No. 128998,Substituted-Aggregated,Chicago City Council,2023-07-14,B92EE570-CA20-EE11-8F6C-001DD809BA2A
O2023-0002740,Handicapped Parking Permit No. 1299979,Substituted-Aggregated,Chicago City Council,2023-07-14,C5102037-CC20-EE11-8F6C-001DD809BA2A
O2023-0002747,Handicapped Parking Permit No. 13619 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,63AB3E84-E220-EE11-8F6C-001DD809BD57
O2023-0002748,Handicapped Parking Permit No. 119411 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,83256CC6-E420-EE11-8F6C-001DD809B9F5
O2023-0002749,Handicapped Parking Permit No. 130927,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,DF47B3D5-E620-EE11-8F6C-001DD809B9F5
O2023-0002750,Handicapped Parking Permit No. 131163,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,BAF8171A-E820-EE11-8F6C-001DD809B9F5
O2023-0002753,Zoning Reclassification Map No. 2-I at 3001-3013 W Fifth Ave - App No. A-8840,Recommended to Pass,"Committee on Zoning, Landmarks and Building Standards",2023-10-10,AA819E32-8621-EE11-8F6C-001DD809B9F5
O2023-0002754,"Zoning Reclassification Map No. 2-I at 3023-3043 W Fifth Ave - 
 App No. A-8838",Recommended to Pass,"Committee on Zoning, Landmarks and Building Standards",2023-10-10,54AA14B6-8821-EE11-8F6C-001DD809B9F5
O2023-0002765,Amendment to 2022 WIFIA Bond Ordinance regarding authority to execute documents for proposed loan from U.S. Environmental Protection Agency to City for operation of water supply system,Signed by Mayor,Chicago City Council,2023-10-05,EAC5EF52-4D22-EE11-8F6C-001DD809BD75
O2023-0002765,Amendment to 2022 WIFIA Bond Ordinance regarding authority to execute documents for proposed loan from U.S. Environmental Protection Agency to City for operation of water supply system,Introduced,Chicago City Council,2023-07-17,EAC5EF52-4D22-EE11-8F6C-001DD809BD75
O2023-0002768,Handicapped Parking Permit No. 131486,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,3FFE90DB-5B22-EE11-8F6C-001DD809B0B6
O2023-0002774,"Buffer zone(s) for residential permit parking at 2201-2259 W Armitage Ave, 2200-2259 W Homer St, 2200-2259 W Cortland St and 1800-1899 N Wilmot Ave - Zone No. 102",Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,E6C31BDD-6222-EE11-8F6C-001DD809BA2A
O2023-0002780,Handicapped Parking Permit No. 68751 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,033B06AE-6822-EE11-8F6C-001DD809B9F5
O2023-0002782,Handicapped Parking Permit No. 127821 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,897AA99F-6922-EE11-8F6C-001DD809B0B6
O2023-0002823,Handicapped Parking Permit No. 125245,Substituted-Aggregated,Chicago City Council,2023-07-14,0FE8D37E-D324-EE11-9CBD-001DD804E11C
O2023-0002825,Handicapped Parking Permit No. 131665,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,92FB795D-D924-EE11-9CBD-001DD804E555
O2023-0002827,Handicapped Parking Permit No. 128524,Substituted-Aggregated,Chicago City Council,2023-07-14,24F9175C-DE24-EE11-9CBD-001DD804E11C
O2023-0002828,Handicapped Parking Permit No. 131510,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,29E9899D-DE24-EE11-9CBD-001DD804E144
O2023-0002829,Handicapped Parking Permit No. 131088,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,55279610-E124-EE11-9CBD-001DD804E555
O2023-0002830,Handicapped Parking Permit No. 129969,Substituted-Aggregated,Chicago City Council,2023-07-14,4FD59FB5-E124-EE11-9CBD-001DD804E9A5
O2023-0002831,Handicapped Parking Permit No. 131424,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,2355A372-E224-EE11-9CBD-001DD804E555
O2023-0002832,Handicapped Parking Permit No. 131501,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,670AC97D-E324-EE11-9CBD-001DD804E555
O2023-0002833,Handicapped Parking Permit No. 131670,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,1B39C63A-E424-EE11-9CBD-001DD804E144
O2023-0002837,Handicapped Parking Permit No. 129925,Substituted-Aggregated,Chicago City Council,2023-07-14,898CE879-6D25-EE11-9CBD-001DD804E555
O2023-0002838,Handicapped Parking Permit No. 129911,Substituted-Aggregated,Chicago City Council,2023-07-14,9D702B48-6F25-EE11-9CBD-001DD804E144
O2023-0002840,Handicapped Parking Permit No. 129983,Substituted-Aggregated,Chicago City Council,2023-07-14,E7069655-7025-EE11-9CBD-001DD804E144
O2023-0002841,Handicapped Parking Permit No. 131691,Substituted-Aggregated,Chicago City Council,2023-07-14,A8383A25-7125-EE11-9CBD-001DD804E144
O2023-0002842,Handicapped Parking Permit No. 130858,Substituted-Aggregated,Chicago City Council,2023-07-14,083E4D67-7225-EE11-9CBD-001DD804E144
O2023-0002844,Handicapped permit parking at 4545 S California Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,C6E2F406-7425-EE11-9CBD-001DD804E144
O2023-0002847,Handicapped permit parking at 4252 S Campbell Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,649F4134-7525-EE11-9CBD-001DD804E144
O2023-0002850,Handicapped parking permit at 6601 S Damen Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,F8937CF8-7525-EE11-9CBD-001DD804E144
O2023-0002855,Handicapped permit parking at 4513 S Hermitage Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,B5976B90-7925-EE11-9CBD-001DD804E144
O2023-0002857,Handicapped permit parking at 5636 S Honore St,Substituted-Aggregated,Chicago City Council,2023-07-14,1F6257A1-7A25-EE11-9CBD-001DD804E144
O2023-0002860,Handicapped permit parking at 5723 S Honore St,Substituted-Aggregated,Chicago City Council,2023-07-14,4CC1BC67-7B25-EE11-9CBD-001DD804E144
O2023-0002861,Handicapped permit parking at 4520 S Marshfield Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,629DBD22-7C25-EE11-9CBD-001DD804E144
O2023-0002862,Handicapped permit parking at 5542 S Mozart St,Substituted-Aggregated,Chicago City Council,2023-07-14,E74668CF-7C25-EE11-9CBD-001DD804E144
O2023-0002863,Handicapped permit parking at 6046 S Mozart St,Substituted-Aggregated,Chicago City Council,2023-07-14,4CF8DCF4-7D25-EE11-9CBD-001DD804E144
O2023-0002865,Handicapped permit parking at 4739 S Rockwell St,Substituted-Aggregated,Chicago City Council,2023-07-14,2F76719F-7E25-EE11-9CBD-001DD804E144
O2023-0002866,Handicapped permit parking at 4849 S Seeley Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,9EC540B3-7F25-EE11-9CBD-001DD804E144
O2023-0002869,Handicapped permit parking at 5023 S Seeley Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,94C559FA-8025-EE11-9CBD-001DD804E144
O2023-0002870,Handicapped permit parking at 5708 S Washtenaw Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,AA19DA16-8225-EE11-9CBD-001DD804E144
O2023-0002871,Handicapped permit parking at 5836 S Washtenaw Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,3915C93F-8325-EE11-9CBD-001DD804E144
O2023-0002874,Handicapped permit parking at 6219 S Whipple St,Substituted-Aggregated,Chicago City Council,2023-07-14,E140B293-8425-EE11-9CBD-001DD804E144
O2023-0002878,Handicapped permit parking at 5819 S Wolcott Ave,Substituted-Aggregated,Chicago City Council,2023-07-14,7661692D-8625-EE11-9CBD-001DD804E144
O2023-0002880,Handicapped permit parking at 6137 S Wood St,Substituted-Aggregated,Chicago City Council,2023-07-14,4EC9D5F3-8625-EE11-9CBD-001DD804E144
O2023-0002881,Handicapped permit parking at 2534 W 45th Pl,Substituted-Aggregated,Chicago City Council,2023-07-14,B8201A64-8825-EE11-9CBD-001DD804E144
O2023-0002885,Handicapped permit parking at 2530 W 46th St,Substituted-Aggregated,Chicago City Council,2023-07-14,D719F873-8925-EE11-9CBD-001DD804E144
O2023-0002909,Handicapped Parking Permit No. 95512 - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,6488D55E-A825-EE11-9CBD-001DD804E144
O2023-0002913,Handicapped Parking Permit No. 130614,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,1F550A12-AA25-EE11-9CBD-001DD804E144
O2023-0002914,Handicapped Parking Permit No. 101985,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,779FA734-AB25-EE11-9CBD-001DD804E144
O2023-0003017,Approval of Amendment No. 4 to Tax Increment Allocation Financing (TIF) Redevelopment Plan for Northwest Industrial Corridor Redevelopment Project Area,Amended,Chicago City Council,2023-07-14,9E9415B4-1927-EE11-9965-001DD804E11C
O2023-0003032,"Renewal of retroactive license agreement with 548 Capital LLC to secure and maintain City property and City's interest in development properties at 8840 S Commercial Ave, 8844 S Commercial Ave and 8848 S Commercial Ave",Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,4F8C3523-CA27-EE11-9965-001DD804E555
O2023-0003035,Handicapped Parking Permit No. 127548,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,FB5E03FD-D427-EE11-9965-001DD804E11C
O2023-0003037,Sale of City-owned property at 6921 S Paulina St to Susana Lazaro Andrade under Adjacent Neighbors Land Acquisition Program,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,CB81D2CC-D527-EE11-9965-001DD804E11C
O2023-0003038,Handicapped Parking Permit No. 130315,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,99AAD595-D627-EE11-9965-001DD804E11C
O2023-0003039,Handicapped Parking Permit No. EA21693,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,A36929A6-D727-EE11-9965-001DD804E11C
O2023-0003040,Handicapped Parking Permit No. 130676,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,85057733-D827-EE11-9965-001DD804E11C
O2023-0003041,Handicapped Parking Permit No. 130616,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,1EC559CC-D827-EE11-9965-001DD804E11C
O2023-0003042,Handicapped Parking Permit No. DH39895,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,A3BD2F33-D927-EE11-9965-001DD804E11C
O2023-0003043,Residential permit parking at 2612-2659 S Hamlin Ave (excluding 2615 S Hamlin Ave),Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,0A8D25D0-D927-EE11-9965-001DD804E11C
O2023-0003045,Loading/Standing/Tow Zone(s) at 2124 S Ashland Ave,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,4FC27A9A-DA27-EE11-9965-001DD804E11C
O2023-0003053,Handicapped permit parking at 424 N Central Park Ave,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,83C0B2F7-DE27-EE11-9965-001DD804E144
O2023-0003057,Loading/Standing/Tow Zone(s) at Upper N Harbor Dr and E Waterside Dr - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-14,A70E587C-E127-EE11-9965-001DD804E144
O2023-0003060,Speed limitation at N Campbell Ave from W Roscoe St to W Belmont Ave; and W Roscoe St from N. Campbell Ave to N Western Ave - 20 mph,Referred,Chicago City Council,2023-07-21,B9F3273B-E327-EE11-9965-001DD804E144
O2023-0003063,"Amendment of Municipal Code Chapters 2-56, 2-78, 2-80, and 2-84 regarding citation changes from Committee on Public Safety and Committee on Police and Fire",Recommended to Pass,Committee on Budget and Government Operations,2023-07-19,07825792-E427-EE11-9965-001DD804E11C
O2023-0003067,Sale of City-owned property at 1513 S Kenneth Ave to Sophia Green under Adjacent Neighbors Land Acquisition Program,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,4655CDEE-ED27-EE11-9965-001DD804E144
O2023-0003070,Sale of City-owned property at 1832 S Sawyer Ave to Heather Ferguson under Adjacent Neighbors Land Acquisition Program,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,4CB27423-FB27-EE11-9965-001DD804E144
O2023-0003071,Sale of City-owned property at 4441 S Ellis Ave to Greg Davis and Nina Davis,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,FA57F941-FC27-EE11-9965-001DD804E11C
O2023-0003072,Negotiated sale of City-owned property at 3451 W Harrison St to Spirit of Truth Missionary Baptist Church,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,F18E168C-0128-EE11-9965-001DD804E11C
O2023-0003074,Sale of City-owned property at 2215-2217 W Warren Blvd to Makema Kromah Adkins,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,5C62F7CD-0228-EE11-9965-001DD804E11C
O2023-0003075,Issuance of multi-family loan and low-income housing tax credits for Island Terrace Apartment project,Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,0CAE8AB9-0628-EE11-9965-001DD804E11C
O2023-0003076,"Sale of City-owned property at 4005 S Dearborn St to New Horizon Steel, LLC",Recommended to Pass,Committee on Housing and Real Estate,2023-09-14,71D7748D-0828-EE11-9965-001DD804E11C
O2023-0003091,"Honorary street designation as ""Honorary Jerry Hart Way"" - amend",Introduced,Chicago City Council,2023-09-07,B7D3CD49-CC2F-EE11-BDF4-001DD8049DF0
O2023-0003093,Amendment of previously passed ordinance to designate new areas of 4th Precinct of 23rd Ward as Restricted Residential Zone prohibiting additional shared housing units and vacation rentals,Held in Committee,Committee on License and Consumer Protection,2023-10-04,3B0A820F-7E30-EE11-BDF4-001DD8049DF0
O2023-0003115,Traffic direction at N Keeler Ave from W Kinzie St to W Lake St - One-Way southerly - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,8FBE3C2D-2535-EE11-BDF4-001DD8301521
O2023-0003115,Traffic direction at N Keeler Ave from W Kinzie St to W Lake St - One-Way southerly - remove,Introduced,Chicago City Council,2023-09-06,8FBE3C2D-2535-EE11-BDF4-001DD8301521
O2023-0003117,Handicapped Parking Permit No. 104626,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,9F3E7FD8-2735-EE11-BDF4-001DD8301521
O2023-0003117,Handicapped Parking Permit No. 104626,Introduced,Chicago City Council,2023-09-06,9F3E7FD8-2735-EE11-BDF4-001DD8301521
O2023-0003119,Handicapped Parking Permit No. 131586,Introduced,Chicago City Council,2023-09-06,EA601788-2935-EE11-BDF4-001DD8301521
O2023-0003119,Handicapped Parking Permit No. 131586,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,EA601788-2935-EE11-BDF4-001DD8301521
O2023-0003120,Handicapped Parking Permit No. 132151,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,3D9CF965-2A35-EE11-BDF4-001DD8301521
O2023-0003120,Handicapped Parking Permit No. 132151,Introduced,Chicago City Council,2023-09-06,3D9CF965-2A35-EE11-BDF4-001DD8301521
O2023-0003121,Handicapped Parking Permit No. 132167,Introduced,Chicago City Council,2023-09-06,D806D631-2B35-EE11-BDF4-001DD8301521
O2023-0003121,Handicapped Parking Permit No. 132167,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,D806D631-2B35-EE11-BDF4-001DD8301521
O2023-0003123,Handicapped Parking Permit No. 125784,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,BC9465EA-2D35-EE11-BDF4-001DD8301A00
O2023-0003123,Handicapped Parking Permit No. 125784,Introduced,Chicago City Council,2023-09-06,BC9465EA-2D35-EE11-BDF4-001DD8301A00
O2023-0003124,Speed limitation at N Francisco Ave from W Lawrence Ave to W Ainslie St - 20 mph,Introduced,Chicago City Council,2023-09-06,DB12071F-3135-EE11-BDF4-001DD8301521
O2023-0003124,Speed limitation at N Francisco Ave from W Lawrence Ave to W Ainslie St - 20 mph,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,DB12071F-3135-EE11-BDF4-001DD8301521
O2023-0003125,Traffic direction at N Francisco Ave from W Lawrence Ave to W Foster Ave - One-Way northerly - amend,Introduced,Chicago City Council,2023-09-06,1EA26865-3235-EE11-BDF4-001DD8301521
O2023-0003125,Traffic direction at N Francisco Ave from W Lawrence Ave to W Foster Ave - One-Way northerly - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,1EA26865-3235-EE11-BDF4-001DD8301521
O2023-0003130,Handicapped Parking Permit No. 131475,Introduced,Chicago City Council,2023-09-06,A4705B2C-4F35-EE11-BDF4-001DD8301360
O2023-0003130,Handicapped Parking Permit No. 131475,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,A4705B2C-4F35-EE11-BDF4-001DD8301360
O2023-0003131,Handicapped Parking Permit No. 130270,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,BE17B7E0-4F35-EE11-BDF4-001DD8301360
O2023-0003131,Handicapped Parking Permit No. 130270,Introduced,Chicago City Council,2023-09-06,BE17B7E0-4F35-EE11-BDF4-001DD8301360
O2023-0003132,Handicapped Parking Permit No. 119632,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,CDDD8AA8-5035-EE11-BDF4-001DD8301360
O2023-0003132,Handicapped Parking Permit No. 119632,Introduced,Chicago City Council,2023-09-06,CDDD8AA8-5035-EE11-BDF4-001DD8301360
O2023-0003133,Traffic sign(s)/signal(s) at W Belmont Ave from N Kimball Ave to N Western Ave - Rush Hour Restrictions - remove,Introduced,Chicago City Council,2023-09-06,5390D675-5135-EE11-BDF4-001DD8301360
O2023-0003133,Traffic sign(s)/signal(s) at W Belmont Ave from N Kimball Ave to N Western Ave - Rush Hour Restrictions - remove,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,5390D675-5135-EE11-BDF4-001DD8301360
O2023-0003136,Traffic sign(s)/signal(s) at 2725 S Kolin Ave - No Parking School Days,Introduced,Chicago City Council,2023-09-06,6BB8BFA8-5235-EE11-BDF4-001DD8301360
O2023-0003311,"Honorary street designation as ""Honorary Charles B. Taylor Way"" - amend",Introduced,Chicago City Council,2023-09-07,726CDE58-5338-EE11-BDF4-001DD8301A00
O2023-0003361,"Honorary street designation as ""Mac and Louise Irvin Way"" - amend",Introduced,Chicago City Council,2023-09-07,3033E196-6C3B-EE11-BDF4-001DD8097F18
O2023-0003403,"Residential permit parking at N Lotus Ave, 2800 block - Zone No. 1295 - amend",Introduced,Chicago City Council,2023-09-06,0A1A9356-FA3D-EE11-BDF4-001DD8097F7D
O2023-0003404,Handicapped Parking Permit No. 131540 - amend,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,9A697A5A-FB3D-EE11-BDF4-001DD8097F7D
O2023-0003404,Handicapped Parking Permit No. 131540 - amend,Introduced,Chicago City Council,2023-09-06,9A697A5A-FB3D-EE11-BDF4-001DD8097F7D
O2023-0003405,Handicapped Parking Permit No. 131224,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,07CC1E22-FC3D-EE11-BDF4-001DD8097F7D
O2023-0003405,Handicapped Parking Permit No. 131224,Introduced,Chicago City Council,2023-09-06,07CC1E22-FC3D-EE11-BDF4-001DD8097F7D
O2023-0003406,Handicapped permit parking at 827 E 48th St,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,D9313DD6-FC3D-EE11-BDF4-001DD8097F7D
O2023-0003406,Handicapped permit parking at 827 E 48th St,Introduced,Chicago City Council,2023-09-06,D9313DD6-FC3D-EE11-BDF4-001DD8097F7D
O2023-0003408,Residential permit parking at 1762-1776 W Cullom Ave - Zone No. 2030,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,DEC900F8-FD3D-EE11-BDF4-001DD8097F7D
O2023-0003408,Residential permit parking at 1762-1776 W Cullom Ave - Zone No. 2030,Introduced,Chicago City Council,2023-09-06,DEC900F8-FD3D-EE11-BDF4-001DD8097F7D
O2023-0003464,Handicapped Parking Permit No. 128158,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,A3385F25-5D43-EE11-BDF3-001DD8097665
O2023-0003464,Handicapped Parking Permit No. 128158,Introduced,Chicago City Council,2023-09-06,A3385F25-5D43-EE11-BDF3-001DD8097665
O2023-0003465,Traffic sign(s)/signal(s) at W 25th St and S Drake Ave - All-Way Stop,Introduced,Chicago City Council,2023-09-06,38CF4EAB-5E43-EE11-BDF3-001DD8097665
O2023-0003465,Traffic sign(s)/signal(s) at W 25th St and S Drake Ave - All-Way Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,38CF4EAB-5E43-EE11-BDF3-001DD8097665
O2023-0003466,Traffic sign(s)/signal(s) at W 25th St and S Harding Ave - All-Way Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,67C2737B-5F43-EE11-BDF3-001DD8097665
O2023-0003466,Traffic sign(s)/signal(s) at W 25th St and S Harding Ave - All-Way Stop,Introduced,Chicago City Council,2023-09-06,67C2737B-5F43-EE11-BDF3-001DD8097665
O2023-0003467,Handicapped Parking Permit No. 130513,Introduced,Chicago City Council,2023-09-06,96D3F730-6043-EE11-BDF3-001DD8097665
O2023-0003468,Loading/Standing/Tow Zone(s) at W 49th St from S Paulina St to S Hoyne Ave - amend,Introduced,Chicago City Council,2023-09-06,5B164904-6143-EE11-BDF3-001DD8097665
O2023-0003469,Traffic sign(s)/signal(s) at W 46th Pl and S Normal Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,E5A1A29A-6243-EE11-BDF3-001DD8097665
O2023-0003469,Traffic sign(s)/signal(s) at W 46th Pl and S Normal Ave - Stop,Introduced,Chicago City Council,2023-09-06,E5A1A29A-6243-EE11-BDF3-001DD8097665
O2023-0003470,Traffic sign(s)/signal(s) at W 50th St and S Fairfield Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,FE378269-6343-EE11-BDF3-001DD8097665
O2023-0003470,Traffic sign(s)/signal(s) at W 50th St and S Fairfield Ave - Stop,Introduced,Chicago City Council,2023-09-06,FE378269-6343-EE11-BDF3-001DD8097665
O2023-0003471,Traffic sign(s)/signal(s) at W 57th St and S Maplewood Ave,Introduced,Chicago City Council,2023-09-06,25FC6925-6443-EE11-BDF3-001DD8097665
O2023-0003471,Traffic sign(s)/signal(s) at W 57th St and S Maplewood Ave,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,25FC6925-6443-EE11-BDF3-001DD8097665
O2023-0003472,Traffic sign(s)/signal(s) at W 58th St and S Francisco Ave - Stop,Introduced,Chicago City Council,2023-09-06,66A275B5-6443-EE11-BDF3-001DD8097665
O2023-0003472,Traffic sign(s)/signal(s) at W 58th St and S Francisco Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,66A275B5-6443-EE11-BDF3-001DD8097665
O2023-0003473,Traffic sign(s)/signal(s) at W 62nd St and S Francisco Ave - Stop,Introduced,Chicago City Council,2023-09-06,6E451CA0-6543-EE11-BDF3-001DD8097665
O2023-0003473,Traffic sign(s)/signal(s) at W 62nd St and S Francisco Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,6E451CA0-6543-EE11-BDF3-001DD8097665
O2023-0003474,Traffic sign(s)/signal(s) at W 62nd St and S Hermitage Ave - Stop,Introduced,Chicago City Council,2023-09-06,A4F37844-6643-EE11-BDF3-001DD8097665
O2023-0003474,Traffic sign(s)/signal(s) at W 62nd St and S Hermitage Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,A4F37844-6643-EE11-BDF3-001DD8097665
O2023-0003475,Traffic sign(s)/signal(s) at W 62nd St and S Mozart St - Stop,Introduced,Chicago City Council,2023-09-06,610B91FE-6643-EE11-BDF3-001DD8097665
O2023-0003475,Traffic sign(s)/signal(s) at W 62nd St and S Mozart St - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,610B91FE-6643-EE11-BDF3-001DD8097665
O2023-0003476,Traffic sign(s)/signal(s) at W 62nd St and S Whipple St - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,2FF3EE33-6943-EE11-BDF3-001DD80974AF
O2023-0003476,Traffic sign(s)/signal(s) at W 62nd St and S Whipple St - Stop,Introduced,Chicago City Council,2023-09-06,2FF3EE33-6943-EE11-BDF3-001DD80974AF
O2023-0003477,Traffic sign(s)/signal(s) at W 64th St and S California Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,72503D68-6A43-EE11-BDF3-001DD80974AF
O2023-0003477,Traffic sign(s)/signal(s) at W 64th St and S California Ave - Stop,Introduced,Chicago City Council,2023-09-06,72503D68-6A43-EE11-BDF3-001DD80974AF
O2023-0003478,Traffic sign(s)/signal(s) at W 64th St and S Whipple St - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,9F3A91F8-6A43-EE11-BDF3-001DD80974AF
O2023-0003478,Traffic sign(s)/signal(s) at W 64th St and S Whipple St - Stop,Introduced,Chicago City Council,2023-09-06,9F3A91F8-6A43-EE11-BDF3-001DD80974AF
O2023-0003479,Amendment of Municipal Code Chapter 9-68-033 by inserting new section designating Zone 74 nightlife tow area on Division St,Introduced,Chicago City Council,2023-09-06,234FD476-6B43-EE11-BDF3-001DD80974AF
O2023-0003479,Amendment of Municipal Code Chapter 9-68-033 by inserting new section designating Zone 74 nightlife tow area on Division St,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,234FD476-6B43-EE11-BDF3-001DD80974AF
O2023-0003483,Amendment of Municipal Code Section 4-6-230 to disallow booting operations of motor vehicles on private property within 33rd and 49th Wards,Held in Committee,Committee on License and Consumer Protection,2023-10-04,9B34EC5C-7143-EE11-BDF3-001DD8097F7D
O2023-0003485,Traffic sign(s)/signal(s) at W 66th St and S California Ave - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,56402BF4-7643-EE11-BDF3-001DD8097665
O2023-0003485,Traffic sign(s)/signal(s) at W 66th St and S California Ave - Stop,Introduced,Chicago City Council,2023-09-06,56402BF4-7643-EE11-BDF3-001DD8097665
O2023-0003486,Traffic sign(s)/signal(s) at W 66th St and S Whipple St - Stop,Introduced,Chicago City Council,2023-09-06,CAA2B744-7843-EE11-BDF3-001DD8097665
O2023-0003486,Traffic sign(s)/signal(s) at W 66th St and S Whipple St - Stop,Recommended to Pass,Committee on Pedestrian and Traffic Safety,2023-09-13,CAA2B744-7843-EE11-BDF3-001DD8097665
