identifier,title,introduction_date,earliest_action_date,matter_id,problem
CL2023-0003721,"Damage to vehicle claim for Jackson, Adyna G.",2023-06-21,2022-06-27,A9B99007-8946-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003722,"Damage to vehicle - pothole claim for Lacroix, Paul G., IV",2023-06-21,2023-03-15,99950D74-8946-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003723,"Damage to vehicle - pothole claim for Lewittes, Daniella M.",2023-06-21,2022-06-22,E24EDBFE-8946-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003724,"Damage to vehicle - pothole claim for Lona, Marie A.",2023-06-21,2023-01-18,F1CEBD71-8A46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003725,"Damage to vehicle claim for Jackson, Robert E.",2023-06-21,2022-05-23,066567D2-8A46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003726,"Damage to vehicle - pothole claim for Loring, Timothy A.",2023-06-21,2022-11-16,C97BF5FC-8A46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003727,"Damage to vehicle claim for Lutze, Peter J.",2023-06-21,2023-01-18,F3635A8F-8B46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003729,"Damage to vehicle - pothole claim for Margetich, Elizabeth I.",2023-06-21,2022-04-27,6837D727-8C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003730,"Damage to vehicle claim for James, Deon J.",2023-06-21,2022-05-23,1192784C-8C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003731,"Damage to vehicle - pothole claim for McBlain, Scott P.",2023-06-21,2023-03-15,242D48A7-8C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003732,"Damage to vehicle claim for Juarez, Jose M.",2023-06-21,2023-03-23,80AA50D1-8C46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003733,"Damage to vehicle - pothole claim for McMillan, Glenn A.",2023-06-21,2022-03-23,5ACBD92B-8D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003734,"Damage to vehicle claim for Mendoza, Mandy M.",2023-06-21,2022-09-21,679A0B9F-8D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003735,"Damage to vehicle claim for Miranda, Vicente",2023-06-21,2021-12-15,E1221EBD-8D46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003737,"Damage to vehicle claim for Mustic, Fata",2023-06-21,2022-06-22,F8B56D7F-8F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003741,"Damage to vehicle - pothole claim for Frutos, Veronica",2023-07-19,2022-05-23,D6E15F9C-9246-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003742,"Damage to vehicle - pothole claim for Funez, Edvin R.",2023-07-19,2022-09-21,47A1EEBD-9446-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003744,"Damage to vehicle - pothole claim for Gabriel, Christian A.",2023-07-19,2022-04-27,59482CBF-9546-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003745,"Damage to vehicle claim for Garcia, Cirenia",2023-07-19,2022-09-21,085CB1EA-9646-EE11-BE6D-001DD8097F7D,introduction after other action
CL2023-0003753,"Damage to vehicle - pothole claim for Stapleton, Fredrick",2023-07-19,2023-05-24,0CC145DC-9E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003754,"Damage to vehicle - pothole claim for Neal, John L.",2023-07-19,2022-10-26,900E7EE8-9E46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003756,"Damage to vehicle - pothole claim for Nee, Marianne",2023-07-19,2022-04-27,1E55267A-9F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003757,"Damage to vehicle - pothole claim for Huerta, Lindsey",2023-07-19,2022-07-20,12DCA28C-9F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003758,"Damage to vehicle claim for Paul, Allison C.",2023-06-21,2022-02-23,74CFEFCE-9F46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003759,"Damage to vehicle - pothole claim for Nowicki, Victoria K.",2023-07-19,2023-05-24,6135A305-A046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003760,"Damage to vehicle claim for Brown, Ben and State Farm Ins.",2023-07-19,2022-06-22,D0869B0B-A046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003762,"Damage to vehicle claim for  Pedyash, Denis",2023-06-21,2022-09-21,F93DBF5A-A046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003763,"Damage to vehicle - pothole claim for Poinsette, Lamont",2023-07-19,2021-04-21,325810A3-A046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003764,"Damage to vehicle - pothole claim for Sykes-Hamilton, Shalonda",2023-07-19,2022-07-20,2DDA77DA-A046-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003766,"Damage to vehicle - pothole claim for Pozo, Marisabel",2023-07-19,2022-05-23,A4DFD728-A146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003767,"Damage to vehicle - pothole claim for Tarnawski, Alexander",2023-07-19,2022-06-22,DEFBF95E-A146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003769,"Damage to vehicle - pothole claim for Rangel, Jesica V.",2023-07-19,2022-07-20,B75FB1B4-A146-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003771,"Damage to vehicle - pothole claim for Nachum, Taylor",2023-07-19,2022-04-27,AE7B2B33-A246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003772,"Damage to vehicle - pothole claim for Richardson-Grandberry, Ebony A.",2023-07-19,2023-05-24,6DBA4158-A246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003774,"Damage to vehicle claim for Thomas, Beverly",2023-07-19,2023-05-24,F9B514B9-A246-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003777,"Damage to vehicle claim for Rios, Abel R. in care of Amero Building Restoration",2023-06-21,2022-06-22,A56EA932-A346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003778,"Damage to vehicle - pothole claim for Thompson, Dianne",2023-07-19,2022-09-21,58FB4E57-A346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003779,"Damage to property claim for Salgado, Diocelina",2023-07-19,2021-06-25,24E43A7B-A346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003780,"Damage to vehicle claim for Turner, Teassa",2023-07-19,2023-05-24,F57C22C4-A346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003781,"Damage to vehicle claim for Saucedo, Hector",2023-07-19,2023-04-19,35833EF4-A346-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003784,"Damage to vehicle - pothole claim for Daniel, Hardin B.",2023-07-19,2022-04-27,769D9A07-A446-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003785,"Damage to vehicle - pothole claim for Weinberg, Aaron",2023-07-19,2022-01-26,549FD254-A446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003786,"Damage to vehicle claim for Scott, Byron C.",2023-07-19,2022-06-22,5702C860-A446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003787,"Damage to vehicle claim for Santiago, Andrea V.",2023-06-21,2022-04-27,A1C89CBB-A446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003788,"Damage to vehicle claim for Segarra-Ortega, Maritza J.",2023-07-19,2023-02-01,EF7ABED3-A446-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003789,"Damage to vehicle - pothole claim for Hernandez, Juan C.",2023-07-19,2022-09-21,AD48FE2D-A546-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003790,"Damage to vehicle claim for Selles, Keith",2023-07-19,2023-05-24,2C0B514E-A546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003792,"Damage to vehicle - pothole claim for Wilson, Jennifer",2023-07-19,2022-06-22,618CD96C-A546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003793,"Damage to vehicle claim for Sitasz-Valencia, Jill M.",2023-07-19,2023-05-24,0E8289D4-A546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003794,"Damage to vehicle - pothole claim for Worley, James",2023-07-19,2023-05-24,379215FF-A546-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003798,"Damage to vehicle - pothole claim for Holler, Nanda R.",2023-07-19,2022-05-23,F29431A7-A746-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003801,"Damage to vehicle claim for Sosa Gomez, Keneddy",2023-06-21,2022-09-21,07273063-A846-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003803,"Damage to vehicle - pothole claim for Hoover, Shea R.",2023-07-19,2022-07-27,B1EEB9D7-A846-EE11-BE6D-001DD8097692,introduction after other action
CL2023-0003805,"Damage to vehicle claim for StoDomingo, Jaysen R.",2023-06-21,2022-09-21,FD0082E2-A946-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003806,"Damage to vehicle - pothole claim for Lopez, Cristian",2023-07-19,2022-09-21,D27651CA-AA46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003807,"Damage to vehicle - pothole claim for King, Victor",2023-07-19,2021-09-14,357E47D0-AA46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003808,"Damage to vehicle claim for Vandlik, Mark J.",2023-06-21,2022-04-27,273839EE-AA46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003809,"Damage to vehicle claim for Krasuski, Richard",2023-07-19,2022-11-07,442DEA7E-AB46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003810,"Damage to vehicle - pothole claim for Magana, Jonathan",2023-07-19,2023-05-31,116EE284-AB46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003811,"Damage to vehicle claim for Krochmal, Frank S.",2023-07-19,2023-05-31,B1651FF2-AB46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003812,"Damage to vehicle - pothole claim for Malone, Patrick",2023-07-19,2022-07-20,42A617F8-AB46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003813,"Damage to vehicle - pothole claim for McEnery, Maeve",2023-07-19,2022-04-27,D43C4C65-AC46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003814,"Damage to vehicle claim for Kwarten, Stacey A.",2023-07-19,2022-03-23,AB693F77-AC46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003815,"Damage to vehicle - pothole claim for Morris, Lionel",2023-07-19,2022-09-21,91E779F5-AC46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003816,"Damage to vehicle - pothole claim for Murray, Steven and Spiridoula",2023-07-19,2023-05-24,B7910D63-AD46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003817,"Damage to vehicle claim for Leno, David J.",2023-07-19,2023-03-15,61720975-AD46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0003818,"Damage to vehicle - pothole claim for Lodhia, Serina",2023-07-19,2022-07-20,45A6CDE8-AD46-EE11-BE6D-001DD80974AF,introduction after other action
CL2023-0004116,Various small claims,2023-09-14,2023-09-11,93EE9C00-9851-EE11-BE6E-001DD8097F7D,introduction after other action
CL2023-0004911,Various small claims,2023-10-04,2023-10-02,49D692AC-5C61-EE11-BE6E-001DD80520D0,introduction after other action
CL2023-0005636,Various small claims,2023-11-01,2023-10-31,0CB9A8BD-2677-EE11-9AE5-001DD804D22B,introduction after other action
CL2023-0005924,Various small claims,2023-11-15,2023-11-14,33443849-2483-EE11-8178-001DD83091CA,introduction after other action
O2023-0001204,Amendment of Municipal Code Section 4-60-023 (49.29) to allow additional package goods licenses on portion(s) of N Clark St,2023-06-21,2023-06-15,2C67FBFB-8C0F-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001294,"Restructuring agreement with Renaissance Partners Limited Partnership, Renaissance Partners Corporation for additional financial assistance or modification through multi-family grant and Tax Increment Financing (TIF) funds for repairs at 3757-3763 S Wabash Ave",2023-06-21,2023-04-19,FE8AFD32-6F10-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001296,"Redevelopment agreement with DL3 Thrive Exchange LIHTC South LLC to acquire property generally located at southeast corner of E 79th St and S Exchange Ave for development of low-income residential, rental units, commercial space and proposed federally-funded health center",2023-06-21,2023-04-19,71E084AF-7010-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001297,"Issuance of multi-family bonds or notes to New City Redevelopment Limited Partnership for acquisition of property at 1515 W 47th St and 1635-1641 W 47th St for construction of low-income housing, with technology and business support hub",2023-06-21,2023-05-24,A674A8F6-7210-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001298,Amendment of ordinance which authorized redevelopment agreement with Imani Senior Village Phase I LLC for development of Imani Village at 9633 S Cottage Grove Ave,2023-06-21,2023-05-24,FE08DA34-7410-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001304,"Sale of City-owned property at 4553, 4555, 4559, 4569 North Pulaski Rd to NeighborSpace for First Nations Garden Project with grant of Open Space Impact Fee funds for eligible improvements",2023-06-21,2023-04-19,DE3B499B-7510-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001309,"First amendment to intergovernmental agreement with Chicago Park District to increase provision of Tax Increment Financing (TIF) funds for renovation of public fieldhouse at Blackhawk Park, 2318 N Lavergne Ave",2023-06-21,2023-04-19,BC767582-7710-EE11-8F6C-001DD806D3F2,introduction after other action
O2023-0001313,Handicapped Parking Permit No. 49753 - remove,2023-06-21,2023-05-31,30F9467D-7810-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001314,Redevelopment agreement with and provision of Tax Increment Financing (TIF) funds to Steep Theatre Company for renovation and construction of new theater venue and community space at 5300-5318 N Kenmore Ave,2023-06-21,2023-04-19,8662A788-7810-EE11-8F6C-001DD806D3F2,introduction after other action
O2023-0001318,Redevelopment agreement with and provision of Tax Increment Financing (TIF) funds to 221 E. 49th Street LLC for development of Overton Center of Excellence at 221 E 49th St,2023-06-21,2023-04-19,17E16077-7910-EE11-8F6C-001DD806D3F2,introduction after other action
O2023-0001322,Handicapped Parking Permit No. 14696 - remove,2023-06-21,2023-05-31,B2A43B7F-7A10-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001339,Exemption from physical barrier requirement for commercial driveway alley access for Chicago Kidz Klub,2023-06-21,2023-04-19,409B8A30-7D10-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001348,Residential permit parking at 1822-1830 S Peoria St - Zone No. 2389,2023-06-21,2023-06-14,F173EBA3-7E10-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001350,Handicapped Parking Permit No. 131395,2023-06-21,2023-05-31,FB7FA21C-7F10-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001361,Approval of Amendment No. 3 to Fullerton/Milwaukee Tax Increment Financing (TIF) Redevelopment Project and Plan,2023-06-21,2023-06-14,715E9941-8010-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001367,Amendment of ordinance appropriating Tax Increment Financing (TIF) assistance funds for infrastructure projects for University of Illinois Discovery Partners Institute at W 15th St and S Clark St,2023-06-21,2023-05-31,DC86F03D-8110-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001369,Handicapped Parking Permit No. 92660 - remove,2023-06-21,2023-05-31,DEADD880-8110-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001382,Handicapped Parking Permit No. 125654 - remove,2023-06-21,2023-05-31,104A7F84-8310-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001383,Support of Class 6(b) tax incentive for property at 4510 W Ann Lurie Pl,2023-06-21,2023-05-31,A79ABD98-8310-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001386,Handicapped Parking Permit No. 121980 - remove,2023-06-21,2023-05-31,8DC9C9F7-8310-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001387,Handicapped Parking Permit No. 113059 - remove,2023-06-21,2023-05-31,027D1E4D-8410-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001389,Handicapped Parking Permit No. 129859,2023-06-21,2023-05-31,14FDC7B3-8410-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001390,"Honorary street designation as ""Honorary Don Selle Way""",2023-06-21,2023-05-24,217E8AED-8410-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001391,Handicapped Parking Permit No. 129421,2023-06-21,2023-05-31,2D5C0920-8510-EE11-8F6C-001DD806D641,introduction after other action
O2023-0001409,Acquisition of property at 5230 N Lincoln Ave for redevelopment as three-to-six month shelter for homeless with wraparound health services as part of Stabilization Housing Pilot Program,2023-06-21,2023-06-12,5CC3655B-8510-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001455,Acquisition of property for roadway improvement project along S Burley Avenue from E 122nd Street to E 126th Pl; S Carondolet Ave from E 122nd St to E 126th Pl; and E 122nd St from South Ave O to S Caroldolet Ave and Norfolk Southern Railway Company grade crossing for North Point Redevelopment Project,2023-06-21,2023-06-14,6BCBBC19-8610-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001655,"Exemption from physical barrier requirement for commercial driveway alley access for South Loop Sales, Inc.",2023-06-21,2023-05-24,CCF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001656,Exemption from physical barrier requirement for commercial driveway alley access for Tess M. McKenzie Early Learning Center,2023-06-21,2023-04-19,CEF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001657,Exemption from physical barrier requirement for commercial driveway alley access for 5114 S Kenwood LLC,2023-06-21,2023-04-19,D0F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001658,Exemption from physical barrier requirement for commercial driveway alley access for United Strategic Emergence Engineer Development (United S.E.E.D) LLC,2023-06-21,2023-04-19,D2F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001659,"Honorary street designation as ""Reverend Dr. Leon D. Finney, Jr. Way""",2023-06-21,2023-04-19,D4F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001660,"Honorary street designation as ""Honorary Rockymore Way""",2023-06-21,2023-05-24,D6F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001661,"Exemption from physical barrier requirement for commercial driveway alley access for Cliff Avril, XA3 LLC",2023-06-21,2023-05-24,D8F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001662,Exemption from physical barrier requirement for commercial driveway alley access for 31st Auto Repair,2023-06-21,2023-05-24,DAF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001663,"Honorary street designation as ""Terry Miller Way""",2023-06-21,2023-05-24,DCF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001664,"Honorary street designation as ""Carmen V. Gaspar Way""",2023-06-21,2023-05-31,DFF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001665,"Honorary street designation as ""Lola Navarro Way""",2023-06-21,2023-04-19,E1F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001666,Exemption from physical barrier requirement for commercial driveway alley access for Teloloapan Tire Shop,2023-06-21,2023-04-19,E3F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001667,Exemption from physical barrier requirement for commercial driveway alley access for A-1 Truck & Auto Supply,2023-06-21,2023-05-24,E5F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001668,Exemption from physical barrier requirement for commercial driveway alley access for J&J Tires & Repairs,2023-06-21,2023-05-24,E7F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001669,Exemption from physical barrier requirement for commercial driveway alley access for Grace Manor LP,2023-06-21,2023-05-24,E9F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001670,Exemption from physical barrier requirement for commercial driveway alley access for Chicago Egret Badminton Club,2023-06-21,2023-04-19,EBF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001671,Exemption from physical barrier requirement for commercial driveway alley access for SBSS Holdings LLC,2023-06-21,2023-04-19,EDF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001672,Exemption from physical barrier requirement for commercial driveway alley access for CRM Properties Group,2023-06-21,2023-04-19,EFF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001673,Exemption from physical barrier requirement for commercial driveway alley access for One Collision Auto,2023-06-21,2023-04-19,F1F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001674,Exemption from physical barrier requirement for commercial driveway alley access for Squark Ventures LLC,2023-06-21,2023-04-19,F3F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001675,"Honorary street designation as ""James W. Cole Way""",2023-06-21,2023-05-24,F5F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001676,Exemption from physical barrier requirement for commercial driveway alley access for Aspire Center,2023-06-21,2023-05-24,F8F2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001677,Exemption from physical barrier requirement for commercial driveway alley access for 37 Investment LLC,2023-06-21,2023-04-19,FAF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001678,Exemption from physical barrier requirement for commercial driveway alley access for 3140 Clybourn Owners LLC,2023-06-21,2023-04-19,FCF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001679,Exemption from physical barrier requirement for commercial driveway alley access for Cohen Estate LLC,2023-06-21,2023-05-24,FEF2D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001680,Exemption from physical barrier requirement for commercial driveway alley access for Fetch Club LLC,2023-06-21,2023-04-19,01F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001681,Exemption from physical barrier requirement for commercial driveway alley access for Green Star,2023-06-21,2023-04-19,03F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001682,Exemption from physical barrier requirement for commercial driveway alley access for Wash Out Inn No. 4 LLC,2023-06-21,2023-04-19,05F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001683,Exemption from physical barrier requirement for commercial driveway alley access for Wiggly World LLC,2023-06-21,2023-04-19,07F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001684,Exemption from physical barrier requirement for commercial driveway alley access for Kendo Dojo,2023-06-21,2023-04-19,0AF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001685,Exemption from physical barrier requirement for commercial driveway alley access for 773 Auto Sales Inc.,2023-06-21,2023-05-24,0CF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001686,Exemption from physical barrier requirement for commercial driveway alley access for J&A Auto Body Inc.,2023-06-21,2023-05-24,0EF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001688,Exemption from physical barrier requirement for commercial driveway alley access for Gibbons Family Funeral Home,2023-06-21,2023-05-24,12F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001689,Exemption from physical barrier requirement for commercial driveway alley access for Showtime Audio Inc.,2023-06-21,2023-05-24,14F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001690,Exemption from physical barrier requirement for commercial driveway alley access for 3737 N Clark St LLC,2023-06-21,2023-05-24,16F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001691,Exemption from physical barrier requirement for commercial driveway alley access for Nurturing Niche Lincoln Park Inc.,2023-06-21,2023-05-24,18F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001692,Exemption from physical barrier requirement for commercial driveway alley access for Over the Rainbow Association,2023-06-21,2023-05-24,1AF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001693,Exemption from physical barrier requirement for commercial driveway alley access for Hester Early Learning,2023-06-21,2023-05-24,1CF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001694,Exemption from physical barrier requirement for commercial driveway alley access for School Street Flats LLC,2023-06-21,2023-04-19,1FF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001695,Exemption from physical barrier requirement for commercial driveway alley access for Life Storage,2023-06-21,2023-04-19,21F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001696,Exemption from physical barrier requirement for commercial driveway alley access for GT Alternatives LLC,2023-06-21,2023-05-24,23F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001697,Exemption from physical barrier requirement for commercial driveway alley access for 3701 W Devon Congregation Kollel Zichron Eliyahu,2023-06-21,2023-04-19,25F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001698,Opening of public street(s) within area bounded by W 38th St between S May St and S Morgan St,2023-06-21,2023-05-24,27F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001699,Opening of public street(s) within area bounded by W Division St from N Halsted St and North Branch of Chicago River,2023-06-21,2023-05-24,29F3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001700,"Approval of plat of Collection of McCormick Square Resubdivision bounded by S Lake Shore Dr, E 16th St, S Indiana Ave and E 31st St for Metropolitan Pier and Exposition Authority",2023-06-21,2023-04-19,2BF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001701,"Vacation of public alley(s) in area bounded by S Brandon Ave, E 92nd St, S Burley Ave and E 93rd St",2023-06-21,2023-04-19,2DF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001702,Dedication for portion of W 77th St between S Homan Ave and S St. Louis Ave,2023-06-21,2023-05-24,2FF3D7FD-8910-EE11-8F6C-001DD80948A9,introduction after other action
O2023-0001718,Amendment of Municipal Code Section 4-60-023 (19.59) to disallow additional package goods licenses on portion(s) of W 111th St,2023-06-21,2023-05-24,116BF491-E610-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001719,Amendment of previously passed ordinance to designate entire area of 37th Precinct of 13th Ward as Restricted Residential Zone prohibiting additional shared housing units and vacation rentals,2023-06-21,2023-05-24,CA2CAB8D-E710-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001720,Amendment of Municipal Code Section 4-60-023 (45.38) to allow additional package goods licenses on portion(s) of N Central Ave,2023-06-21,2023-05-24,233CE683-E810-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001721,Amendment of Municipal Code Sections 4-60-022 (11.93) and 4-60-023 (11.93) to allow additional alcoholic liquor and package goods licenses on portion(s) of S. Halsted St.,2023-06-21,2023-05-24,A065C720-E910-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001722,Amendment of Municipal Code Sections 4-60-022 and 4-60-023 to disallow additional alcoholic liquor and package goods licenses on portion(s) of various streets,2023-06-21,2023-05-24,01207401-EA10-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001723,Amendment of Municipal Code Section 4-60-023 (10.280) to allow additional package goods licenses on portion(s) of S Ewing Ave,2023-06-21,2023-05-31,DF6F6B6D-EA10-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001730,Handicapped permit parking at 5736 S Campbell Ave,2023-06-21,2023-06-13,94FF5107-0611-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001731,Handicapped Permit Parking No. 130222 - amend,2023-06-21,2023-06-14,B17EC2A1-0611-EE11-8F6C-001DD806D2E1,introduction after other action
O2023-0001742,Conveyance of property at 3024-3040 W Fifth Ave to Neighborspace and allocation of financial assistance for development of Eco Garden North Garden,2023-06-21,2023-04-19,F941660F-0D11-EE11-8F6C-001DD806D641,introduction after other action
